# Column descriptions:
# id	Object ID, according to EcoCyc
# complex-count-avg	A floating point number
# complex-count-std	A floating point number
# complex-concentration-avg	A floating point number in mM units
# complex-concentration-std	A floating point number in mM units
# relative-complex-mass-to-total-protein-mass	A floating point number
# relative-complex-mass-to-total-cell-dry-mass	A floating point number
id	complex-count-avg	complex-count-std	complex-concentration-avg	complex-concentration-std	relative-complex-mass-to-total-protein-mass	relative-complex-mass-to-total-cell-dry-mass
ABC-26-CPLX	24.92135179429217	26.147849483284524	4.155991862408016e-05	4.165317465382558e-05	4.818014686295339e-05	2.536469925607283e-05
ABC-27-CPLX	37.44518112461147	35.171071699945855	6.255090907364934e-05	5.5531035593131416e-05	5.859254029337708e-05	3.0846360170263245e-05
ABC-28-CPLX	62.48040915512857	36.07519640066065	0.00010576847488796712	5.659051506390756e-05	9.25494627929554e-05	4.872316592831817e-05
ABC-29-CPLX	42.72107148912122	36.65227785731487	7.289007891352556e-05	6.097013987737071e-05	5.6212542450566816e-05	2.9593397416025513e-05
ABC-3-CPLX	25.312849957615146	12.654618319105127	4.301038252999323e-05	2.0885521554559605e-05	3.3551564262560014e-05	1.766340271878675e-05
ABC-304-CPLX	70.19376547047189	34.9042916339552	0.00011943342998690957	5.445685480350394e-05	0.00011788637791226647	6.206192211571629e-05
ABC-32-CPLX	4.197997174343035	5.118574925636772	7.037880066083282e-06	8.133926057748475e-06	8.347244192373086e-06	4.394451913124894e-06
ABC-33-CPLX	9.422971460864652	20.15810504804804	1.59037062713744e-05	3.3025392428483985e-05	1.590829771115244e-05	8.375009488186495e-06
ABC-34-CPLX	35.54959480079118	20.334460019613697	6.0951145783706395e-05	3.360144233484157e-05	6.620924984444535e-05	3.485621816495225e-05
ABC-35-CPLX	12.89106753320147	23.159960755691156	2.143676350514193e-05	3.796864721592582e-05	6.661404642970488e-06	3.506932551961016e-06
ABC-4-CPLX	73.04045210511444	47.00665096018641	0.00012241543900410088	7.215094696702611e-05	9.34026418955434e-05	4.917232668762981e-05
ABC-40-CPLX	32.325689742865215	36.30405099847188	5.5382056179340943e-05	6.185276870254311e-05	4.186554202715946e-05	2.2040341340841726e-05
ABC-41-CPLX	13.206890081944051	15.434521279568244	2.2246989871691068e-05	2.5829843458667022e-05	2.6465985657193486e-05	1.3933161487027892e-05
ABC-42-CPLX	11.944843176038429	20.371765454746672	2.0299553386405388e-05	3.485467447197348e-05	1.8316634401919752e-05	9.642891382412295e-06
ABC-45-CPLX	48.65065159649618	22.917266368891617	8.16926363869594e-05	3.3147070150549194e-05	0.00011909607941325433	6.269877602256419e-05
ABC-46-CPLX	11.534957897711218	26.398418575564012	1.8835339390392826e-05	4.001756807119638e-05	1.7907028503940283e-05	9.427252139026104e-06
ABC-48-CPLX	19.96129754167844	44.21212936381505	3.375442392926849e-05	7.093270486984824e-05	2.3805244614892523e-05	1.2532399954934117e-05
ABC-49-CPLX	37.60471093529245	19.283321806048804	6.362099317989028e-05	2.9108020249391034e-05	7.026895902514704e-05	3.699347405021387e-05
ABC-5-CPLX	4.23480079118395	4.823392476855524	7.197745871580367e-06	8.0668955884123e-06	6.295270851390444e-06	3.3141794344304767e-06
ABC-51-CPLX	20.7896422718282	44.605909583696196	3.568880891551765e-05	7.719427443887731e-05	2.8683561324423354e-05	1.5100616207264972e-05
ABC-52-CPLX	0.0	0.0	0.0	0.0	0.0	0.0
ABC-54-CPLX	36.6713331449562	21.369665846536176	6.191287717461524e-05	3.40194031131312e-05	3.106085754777106e-05	1.6352156679304867e-05
ABC-55-CPLX	0.0	0.0	0.0	0.0	0.0	0.0
ABC-56-CPLX	4.4398530658378075	10.551588885540164	7.469070386506232e-06	1.7083605622115333e-05	6.360955002085778e-06	3.3487592113044816e-06
ABC-57-CPLX	13.658310257134783	13.385057176103324	2.307086245805726e-05	2.169193656903368e-05	1.9416446131075853e-05	1.0221893223724571e-05
ABC-58-CPLX	18.768574173495338	26.658638467841573	3.1978874195158744e-05	4.381147048884386e-05	3.985305907716677e-05	2.0980858792360975e-05
ABC-59-CPLX	7.754667420175191	18.314156997889107	1.340274854093361e-05	3.1866440492383295e-05	1.4849536934861254e-05	7.817619143338842e-06
ABC-6-CPLX	84.55162023170386	64.26305776521961	0.00014299042145022895	0.00010355526537930257	0.00010481858993076418	5.518231435869232e-05
ABC-60-CPLX	4.967220118677592	14.63501432617388	8.185738575086342e-06	2.3385903319204828e-05	5.9934143600569186e-06	3.1552654497357676e-06
ABC-61-CPLX	16.725870584910993	24.981600864311744	2.8338528691281735e-05	4.140764646207943e-05	1.845010811040643e-05	9.713159339128727e-06
ABC-62-CPLX	26.99975360271263	14.394722822950913	4.556474012525658e-05	2.1962399039669045e-05	3.6483945665808704e-05	1.920717079008533e-05
