# Column descriptions:
# id	Object ID, according to EcoCyc
# protein-count-avg	A floating point number
# protein-count-std	A floating point number
# protein-concentration-avg	A floating point number in mM units
# protein-concentration-std	A floating point number in mM units
# relative-protein-count-to-protein-rna-counts	A floating point number
# relative-protein-mass-to-total-protein-mass	A floating point number
# relative-protein-mass-to-total-cell-dry-mass	A floating point number
id	protein-count-avg	protein-count-std	protein-concentration-avg	protein-concentration-std	relative-protein-count-to-protein-rna-counts	relative-protein-mass-to-total-protein-mass	relative-protein-mass-to-total-cell-dry-mass
ABC-MONOMER	192.47650748799097	79.11347781209125	0.0003246425292063397	0.0001114894771788211	4.4361658112638676e-05	7.044768762892343e-05	3.70875666916527e-05
ABGT-MONOMER	15.453655834981634	41.949195382316375	2.5994066990408967e-05	7.09140786921525e-05	3.56173231574566e-06	8.21750082536756e-06	4.326147814884465e-06
ACETATEKINA-MONOMER	1791.9886318168974	652.3497616613398	0.0030273160172027192	0.0009052589816783856	0.0004130144923341164	0.0007513228720620571	0.00039553799510553807
ACETOLACTSYNIII-HCHAIN-MONOMER	333.7859734388245	161.65794570961873	0.0005573721298670729	0.00022579456987814944	7.693042350849642e-05	5.813049347557985e-05	3.06031131206229e-05
ACETOLACTSYNIII-ICHAIN-MONOMER	206.25234699067533	96.57222703046658	0.0003445688155890027	0.00013447107866620863	4.753669017347756e-05	0.00012581964414839591	6.62384330917031e-05
ACETYL-COA-ACETYLTRANSFER-MONOMER	182.3614557784685	211.63367040596896	0.0003090941038013133	0.00034889302978369853	4.203035819668663e-05	7.128414353745527e-05	3.752792343488191e-05
ACETYLGLUTKIN-MONOMER	228.32435603277762	90.80019874338737	0.00038446325635912103	0.00012635016492407278	5.262380928096605e-05	6.0059041282333904e-05	3.1618407558359214e-05
ACETYLORNDEACET-MONOMER	447.7086589432043	177.64555533919585	0.0007540811314779967	0.0002481371913865541	0.00010318713032210208	0.0001835976314759173	9.665596744153366e-05
ACETYLORNTRANSAM-MONOMER	300.7201220683809	110.30442641457584	0.0005064451318148426	0.0001492283723399263	6.930946231773673e-05	0.00012746747772873784	6.710594400461749e-05
ACNEULY-MONOMER	219.1635919751342	175.5336140180142	0.00037176671697914456	0.000282095798511526	5.0512451960119605e-05	6.918823922194723e-05	3.642452325672172e-05
ACONITASE-MONOMER	444.5673399265329	221.3854802249735	0.0007491183819184065	0.0003295639249215172	0.00010246312445739155	0.00042058192446186015	0.00022141763197318514
ACONITATEDEHYDRB-MONOMER	1370.7036450974852	549.0957855344903	0.002308993998265397	0.000762820426375319	0.00031591744504900744	0.0012411792415190582	0.0006534255338316268
ACPSUB-MONOMER	1.4645108787793162	4.268373236965031	2.6573538190147338e-06	8.265440514820642e-06	3.375379767356884e-07	1.5159250806553712e-07	7.980669688478496e-08
ACRB-MONOMER	218.16702797400396	83.99545860875332	0.00037001526176148316	0.00012205064575359549	5.0282765583935423e-05	0.00023999673310786087	0.00012634757994898555
