# Column descriptions:
# id	Object ID, according to EcoCyc
# rna-count-avg	A floating point number
# rna-count-std	A floating point number
# rna-concentration-avg	A floating point number in mM units
# rna-concentration-std	A floating point number in mM units
# relative-rna-count-to-total-rna-counts	A floating point number
# relative-rna-count-to-total-rna-type-counts	A floating point number
# relative-rna-mass-to-total-rna-mass	A floating point number
# relative-rna-mass-to-total-rna-type-mass	A floating point number
# relative-rna-mass-to-total-cell-dry-mass	A floating point number
id	rna-count-avg	rna-count-std	rna-concentration-avg	rna-concentration-std	relative-rna-count-to-total-rna-counts	relative-rna-count-to-total-rna-type-counts	relative-rna-mass-to-total-rna-mass	relative-rna-mass-to-total-rna-type-mass	relative-rna-mass-to-total-cell-dry-mass
EG10014	0.009828765187906189	0.09865171343032365	1.5622133609464024e-08	1.5818337335170874e-07	4.7532169046866574e-08	1.9457519670678634e-06	3.75371718695563e-07	8.604421663392416e-06	5.0120416388104437e-08
EG10015	0.7507250635772817	0.9214344443795913	1.2286880121940916e-06	1.4883886093039322e-06	3.630526312052089e-06	0.0001486173228535353	9.342270499120937e-06	0.00021414728564860908	1.2473994819146199e-06
EG10016	0.0071003108222661765	0.08396366123758964	1.1005915320279142e-08	1.3241700767773124e-07	3.43372913928721e-08	1.405613369034075e-06	6.70817904591006e-08	1.5376758085325049e-06	8.956900859642295e-09
EG10017	0.9041491946877649	1.0089934489117207	1.5199628759037735e-06	1.7038080742343314e-06	4.372489477962825e-06	0.0001789899382529978	1.0795232108139365e-05	0.0002474526566237065	1.4414019525669047e-06
EG10018	0.15325459169256853	0.38860849475696585	2.563035056251291e-07	6.665836532417801e-07	7.411432687905626e-07	3.0339052520545735e-05	3.6477834048751803e-06	8.361595983134557e-05	4.870596639014257e-07
EG10020	0.5837083922011868	0.7796710479059821	9.89890931606349e-07	1.3293653870992037e-06	2.822829261026631e-06	0.00011555385957505277	5.00433491653594e-06	0.00011471137973938656	6.681892568622964e-07
EG10021	0.22887821418479798	0.48593691355109997	3.793591073775095e-07	8.098247762368367e-07	1.106861112234416e-06	4.530988653763136e-05	2.687347732117718e-06	6.160046666183616e-05	3.5882028561295625e-07
EG10022	4.292792314213054	2.8731959312004087	7.241616044744811e-06	4.6257183306846565e-06	2.0760057449875055e-05	0.000849822834293717	6.885259533559115e-05	0.001578266910850668	9.193342427643783e-06
EG10023	4.292792314213054	2.8731959312004087	7.241616044744811e-06	4.6257183306846565e-06	2.0760057449875055e-05	0.000849822834293717	8.441229533637132e-05	0.001934932618719784	1.1270906090732577e-05
EG10024	3.0024820570782706	2.002653946805813	4.963766879694745e-06	3.07719477194819e-06	1.4520082835311926e-05	0.0005943865029794798	9.812812875470481e-05	0.002249332474431624	1.3102272834145361e-05
EG10025	3.0024820570782706	2.002653946805813	4.963766879694745e-06	3.07719477194819e-06	1.4520082835311926e-05	0.0005943865029794798	7.000892793067959e-05	0.001604772832143409	9.347738372416525e-06
EG10026	0.5933020627295846	0.8015790491608252	1.0059640915930201e-06	1.3737166528929783e-06	2.869224506066857e-06	0.0001174530710166894	1.2622134735312702e-05	0.0002893296541683929	1.6853338094810149e-06
EG10027	1.0296942639163607	1.0594276618401277	1.7149029893365478e-06	1.7519279067750965e-06	4.979628761432208e-06	0.00020384347384338764	1.517854952686788e-05	0.0003479288232520764	2.0266716552268488e-06
EG10028	0.13713026278609777	0.3706565869343651	2.2272067333633257e-07	6.136897108199763e-07	6.631655866812481e-07	2.714699898303537e-05	1.2474751060563076e-06	2.8595126623801562e-05	1.6656548332040322e-07
EG10029	0.03570048036168409	0.1889109031611512	5.667426004957026e-08	3.0497025997981076e-07	1.7264846958536425e-07	7.067447289766045e-06	4.6681179571083474e-07	1.0700447923193258e-05	6.232968657631143e-08
EG10030	0.1427431477818593	0.3782930122847649	2.3598253376365367e-07	6.362438101133988e-07	6.903096473397968e-07	2.8258154027706367e-05	1.7515878263368934e-06	4.0150601357613e-05	2.3387566730231017e-07
EG10031	2.3496106244701895	2.066050650537126	3.865481350637912e-06	3.137202476176892e-06	1.136277927710086e-05	0.0004651407788265963	7.697649173249427e-05	0.001764486134801742	1.0278062053090136e-05
EG10032	2.640671376094942	1.9184161785955964	4.348518900454733e-06	2.9313489105044314e-06	1.2770356789091762e-05	0.0005227606343407922	2.095681799652456e-05	0.0004803806194875155	2.798198137583739e-06
EG10033	0.22609776773099746	0.4683982222977337	3.644208553526327e-07	7.675395995548549e-07	1.0934147994635682e-06	4.475945532339643e-05	3.452021333334882e-06	7.912862281222924e-05	4.609211029765543e-07
EG10034	1.6317513421870584	1.415053146332962	2.66520996689853e-06	2.2195249442536304e-06	7.891192754784832e-06	0.0003230297319273387	5.27949213793664e-05	0.001210186443486823	7.0492882412836896e-06
EG10035	1.0208985589149477	1.0516363737569734	1.7070978820045137e-06	1.7329469704785413e-06	4.937092498837599e-06	0.0002021022316851859	1.8087221641887327e-05	0.0004146025765256327	2.41504363500159e-06
EG10036	0.07702062729584629	0.2830254869235408	1.2722910056495163e-07	4.7280600830699034e-07	3.7247379571408414e-07	1.524739213935976e-05	1.4082636026766243e-06	3.228078527798004e-05	1.8803429942895906e-07
EG10037	0.03570048036168409	0.1889109031611512	5.667426004957026e-08	3.0497025997981076e-07	1.7264846958536425e-07	7.067447289766045e-06	2.846802914994259e-07	6.5255562561577755e-06	3.80111074883885e-08
EG10039	1.0747352359423565	1.0894631909104957	1.7877543731450415e-06	1.810457761372346e-06	5.1974480963583385e-06	0.00021276001200894125	1.910290943800145e-05	0.00043788458111164035	2.5506603922747795e-06
EG10040	0.10593274936422718	0.33429155499193886	1.7553832872850145e-07	5.609293227503641e-07	5.122935846076958e-07	2.0970981757298576e-05	1.4729937675309817e-06	3.376455617761861e-05	1.9667720632307765e-07
EG10041	0.17959875671093528	0.43616888656460473	2.948443017074431e-07	7.2327869874568e-07	8.685443493039441e-07	3.5554276399158625e-05	1.2158456791458166e-06	2.787010416591618e-05	1.623422561354148e-07
EG10042	0.17959875671093528	0.43616888656460473	2.948443017074431e-07	7.2327869874568e-07	8.685443493039441e-07	3.5554276399158625e-05	1.8824757992042236e-06	4.315086816815172e-05	2.513521029887876e-07
