# Column descriptions:
# id	Object ID, according to EcoCyc
# flux-avg	A floating point number in mmol/g DCW/h units
# flux-std	A floating point number in mmol/g DCW/h units
id	flux-avg	flux-std
ADENPHOSPHOR-RXN	-8.442642132389509e-05	0.003600244909911417
ADENPRIBOSYLTRAN-RXN	-0.027438827996031593	0.01331432705024274
ADENYL-KIN-RXN	10.669647469613226	6.84351006439312
ADENYLATECYC-RXN	0.0010852541290933665	0.00018078687815937275
ADENYLOSUCCINATE-SYNTHASE-RXN	0.27854728705938747	0.06042020994362757
ADENYLYLSULFKIN-RXN	0.11554923060161944	0.035650117381480995
ADOMET-DMK-METHYLTRANSFER-RXN	0.0004276421579034712	0.00027668660348891943
ADPREDUCT-RXN	-0.0038125727884118273	0.007789869108838529
ADPSUGPPHOSPHAT-RXN	0.0	0.0
AGMATIN-RXN	0.01535743304410398	1.532787187647971
AICARSYN-RXN	0.528370079213195	0.09822751693013845
AICARTRANSFORM-RXN	0.5339634040139624	0.09890418843949783
AIRS-RXN	0.5287708690186583	0.09827482016886363
AKBLIG-RXN	-0.5582767388968282	6.403819258908504
ALANINE-AMINOTRANSFERASE-RXN	0.9483408460448365	8.002064891184578
ALARACECAT-RXN	4.3341762615264	12.270459087587962
ALCOHOL-DEHYDROG-GENERIC-RXN	0.0	0.0
ALCOHOL-DEHYDROG-RXN	-1.548864045476226e-05	0.00666754073810411
ALDEHYDE-DEHYDROGENASE-NADP+-RXN	0.0	0.0
ALDOSE-1-EPIMERASE-RXN	-0.012784020015425723	0.7124101508828586
ALDOSE1EPIM-RXN	0.0	0.0
ALKAPHOSPHA-RXN	0.0	0.0
ALLANTOATE-DEIMINASE-RXN	0.0	0.0
ALLANTOINASE-RXN	0.0	0.0
ALLOSE-KINASE-RXN	0.0	0.0
ALPHAGALACTOSID-RXN	0.0	0.0
ALTRO-OXIDOREDUCT-RXN	0.0	0.0
ALTRODEHYDRAT-RXN	0.0	0.0
AMACETOXID-RXN	0.0	0.0
AMINEOXID-RXN	0.0	0.0
AMINOBUTDEHYDROG-RXN	0.014342519475245534	1.531823675450481
AMINOCYL-TRNA-HYDROLASE-RXN	0.0	0.0
AMP-DEPHOSPHORYLATION-RXN	5.517849778630082e-08	2.32795238362951e-05
AMP-NUCLEOSID-RXN	5.445548213578387e-07	0.00010359079997968765
AMPSYN-RXN	0.27854728705938747	0.06042020994362757
AMYLOMALT-RXN	-2.5628675656364152e-18	1.3627902650158265e-15
ANTHRANSYN-RXN	0.00018221407513302387	0.000664667732722189
ARABISOM-RXN	0.0	0.0
ARCBTRANS-RXN	-3.1873967250677103e-19	1.5738400808655213e-16
ARGDECARBOX-RXN	0.01535743304410398	1.532787187647971
ARGININE-N-SUCCINYLTRANSFERASE-RXN	0.0968668558439614	0.1752134899404855
ARGSUCCINLYA-RXN	0.012154150893777603	1.5320367157874413
ARGSUCCINSYN-RXN	0.012959419920721143	1.5320394768911858
