# Column descriptions:
# id	Object ID, according to EcoCyc
# protein-count-avg	A floating point number
# protein-count-std	A floating point number
# protein-concentration-avg	A floating point number in mM units
# protein-concentration-std	A floating point number in mM units
# relative-protein-count-to-protein-rna-counts	A floating point number
# relative-protein-mass-to-total-protein-mass	A floating point number
# relative-protein-mass-to-total-cell-dry-mass	A floating point number
id	protein-count-avg	protein-count-std	protein-concentration-avg	protein-concentration-std	relative-protein-count-to-protein-rna-counts	relative-protein-mass-to-total-protein-mass	relative-protein-mass-to-total-cell-dry-mass
ARAG-MONOMER	91.57192870103533	73.62167662785937	0.00014947753615328447	0.00011498764294891544	2.048613507075699e-05	4.7771161331695576e-05	2.4609191746770687e-05
ARAH-MONOMER	87.17668908101184	70.924734194573	0.00014211470043440575	0.00011033938764056688	1.9502848229457495e-05	2.828966276670846e-05	1.4573347519091968e-05
ARAJ-MONOMER	21.487451524531256	21.766340019922605	3.478704691894184e-05	3.39409243378791e-05	4.807093620306303e-06	8.545893524823091e-06	4.402395222079749e-06
ARCA-MONOMER	2346.7727517463027	616.8798643163053	0.003793166388339111	0.0006088518938040817	0.000525011368162908	0.0006071648484665336	0.00031277942091598616
ARCB-MONOMER	1.0736803406031712	1.168070600517926	1.708691207262277e-06	1.8676195192987867e-06	2.4019981660781873e-07	8.955081325675461e-07	4.613187272574327e-07
ARCD-MONOMER	27.29650739436202	30.983685604421318	4.3615431285127466e-05	4.635529838175549e-05	6.106674232738913e-06	1.2815326988357921e-05	6.601782966176669e-06
ARGDECARBOXBIO-MONOMER	591.5174582844131	278.5916472645233	0.0009627255949706457	0.0004107646564293491	0.00013233211005839985	0.00041429963063548055	0.0002134253965511232
ARGDECARBOXDEG-MONOMER	3.389857805291683	22.52183309615041	5.095770437846614e-06	3.235214746256892e-05	7.583665196851981e-07	2.7129265033172066e-06	1.3975571590455116e-06
ARGS-MONOMER	529.3281009475694	207.94656089373757	0.0008539339102848593	0.00027225302443175927	0.00011841933577878868	0.0003245986901474303	0.0001672161861656209
ARGSUCCINLYA-MONOMER	352.59014243189716	193.1550916203018	0.0005710316214952037	0.0002865849329708549	7.888016977407646e-05	0.0001681964572307133	8.664597534855918e-05
ARGSUCCINSYN-MONOMER	3667.7209402165536	1069.2354240470124	0.005907948716992837	0.0011067725677786342	0.0008205290381993518	0.0017350492575613585	0.0008938061935096791
ARGSUCCTRAN-MONOMER	19.170142669085994	40.15736488106266	3.0290703060538196e-05	6.150805671528866e-05	4.288673806650284e-06	6.9902312831187655e-06	3.6009997916129542e-06
ARGT-MONOMER	806.6353269055159	327.6208745426334	0.0013024368290474608	0.0004451142195792086	0.0001804574883835966	0.0002141091743800459	0.00011029779432147401
AROA-MONOMER	1157.1440400374759	331.2502259394776	0.0018707339272040844	0.00035192574622148164	0.00025887200845056734	0.0005057247372155623	0.00026052280669520945
AROB-MONOMER	52.866232611093324	21.163147631255516	8.492063550104214e-05	2.7165433582875548e-05	1.182703910811776e-05	1.9489852851164103e-05	1.004014791686495e-05
AROC-MONOMER	252.8969248467167	117.40667986652528	0.00040998862539999613	0.00016860615531211093	5.657716982573877e-05	9.384897347118048e-05	4.834605898219016e-05
AROD-MONOMER	535.3088222388254	347.8967047299235	0.0008610832372611331	0.0005064686779189176	0.00011975732074788585	0.00013938856772299104	7.180566464744696e-05
AROE-MONOMER	141.26345987357834	68.808414599451	0.00022787854783508512	9.825579181135479e-05	3.160294165017261e-05	3.9391738713405505e-05	2.029255358700484e-05
AROF-MONOMER	255.5695449532145	129.08481371252222	0.00041086077275352266	0.00017868787718173547	5.717507856558074e-05	9.402275261455782e-05	4.84355808640483e-05
AROG-MONOMER	1339.4436688369444	707.8624424304081	0.002150480613922643	0.0009879492183169384	0.0002996554108743338	0.0004827473575344857	0.0002486860682394752
AROH-MONOMER	493.619404418828	213.91380955661242	0.0007990957012935042	0.00030123688894110635	0.00011043071753447079	0.00018131053847247707	9.340166080532383e-05
AROK-MONOMER	841.9738262117385	264.58240985671705	0.0013579131594582258	0.00030236196676191056	0.00018836328746694542	0.0001559653410517913	8.034514708871923e-05
AROL-MONOMER	80.55703798579239	48.71701596391626	0.00013026385725227775	7.241494509920329e-05	1.802192423471786e-05	1.4623308101921228e-05	7.53315981902908e-06
AROP-MONOMER	140.65105489735652	91.06139670838071	0.0002258776686114409	0.00013406914428538475	3.146593666142935e-05	6.628400154356958e-05	3.4146034097912334e-05
ARSF-MONOMER	7.514728240888984	19.609779844610404	1.2269340994593643e-05	3.131858054501526e-05	1.681167361511992e-06	3.242499159846637e-06	1.6703651604648256e-06
ARTI-MONOMER	186.01997841581576	105.08691318449452	0.0002998665457457608	0.00015410692187801156	4.1615705355811906e-05	4.7502554389891125e-05	2.4470819566754337e-05
ARTJ-MONOMER	2745.073177500267	836.2298807526668	0.004420512792566433	0.0008881914357029227	0.0006141176743910465	0.0006984365454733652	0.00035979780251023895
ARTM-MONOMER	83.29668765787882	46.55804628144101	0.00013439520538884687	6.776994206514115e-05	1.8634828582426366e-05	1.9683296937279023e-05	1.013980014374775e-05
ARTP-MONOMER	201.9389120148006	103.64116932327464	0.00032604840669809236	0.0001499131242100647	4.5177030627838507e-05	5.174284270316957e-05	2.665519326113688e-05
ARTQ-MONOMER	81.68998707320833	43.95761581018446	0.00013181759551901643	6.39886092524048e-05	1.827538343736138e-05	2.0313330266066215e-05	1.046436020389209e-05
ARYLSULFAT-MONOMER	6.670492522621886	15.73434075280269	1.0518350101955429e-05	2.2384455600781197e-05	1.4922980518740725e-06	3.84032779996894e-06	1.9783350574980725e-06
ASCF-MONOMER	67.12163517984844	102.60603048196283	0.00010744713603415759	0.00015633595450273647	1.5016205336831599e-05	3.248306662120492e-05	1.6733568804281474e-05
ASL-MONOMER	1491.5056557678395	427.3045831745995	0.002412114337738096	0.00047340051213200744	0.00033367415927881925	0.0007288724406939616	0.00037547677619621724
ASNS-MONOMER	3281.0303862620226	984.6302720017774	0.00530537447330689	0.0011404160448863965	0.0007340200497869587	0.0016352621393615526	0.0008424011144372686
ASNSYNA-MONOMER	2212.0091981831333	531.8044261673524	0.0035871715156547464	0.0005293326592640072	0.0004948625616446604	0.0007685510567801616	0.0003959171139290981
ASNSYNB-MONOMER	472.2606752766215	270.24458528200455	0.000758541525682876	0.0003644484100066817	0.0001056524212120738	0.00028054345277788746	0.00014452124315703953
ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER	9496.140750228295	2504.2615892022936	0.015357716527613056	0.002569509499934277	0.0021244416801051496	0.0036031736097981108	0.0018561656821516996
ASPAMINOTRANS-MONOMER	6961.549746800915	1839.4375887469914	0.011254180541951465	0.0017844164087987312	0.0015574123035059023	0.0028761876961426692	0.0014816607455409607
ASPARTASE-MONOMER	1572.8263991176575	426.9927782497591	0.002544370772726589	0.0004552295371432519	0.0003518669368685294	0.0007807136582261052	0.000402182646999239
ASPCARBCAT-MONOMER	7482.9139716084965	2196.108981670725	0.012032710143730389	0.002182388820372539	0.0016740499902072404	0.002442707545394205	0.0012583545530429736
