# Column descriptions:
# id	Object ID, according to EcoCyc
# complex-count-avg	A floating point number
# complex-count-std	A floating point number
# complex-concentration-avg	A floating point number in mM units
# complex-concentration-std	A floating point number in mM units
# relative-complex-mass-to-total-protein-mass	A floating point number
# relative-complex-mass-to-total-cell-dry-mass	A floating point number
id	complex-count-avg	complex-count-std	complex-concentration-avg	complex-concentration-std	relative-complex-mass-to-total-protein-mass	relative-complex-mass-to-total-cell-dry-mass
6PGLUCONDEHYDROG-CPLX	2969.9612131603435	891.9977054663135	0.003372694801164516	0.0007781811771736502	0.002211092497012309	0.0010473935775288789
7-ALPHA-HYDROXYSTEROID-DEH-CPLX	143.3038285015316	64.7161595178246	0.00016149046440329162	6.200617184060514e-05	0.00011099273294781678	5.257721049617134e-05
7KAPSYN-CPLX	64.46657118064631	27.66263086303773	7.279422977783071e-05	2.6471873325326997e-05	3.8785027068667697e-05	1.837245086349733e-05
ABC-10-CPLX	145.75288287628985	67.01978347715986	0.0001649576031863703	6.615056054683102e-05	0.00017144325902541675	8.121259904616366e-05
ABC-11-CPLX	47.45986973476493	28.2475349991082	5.386482277380241e-05	2.9767649559928233e-05	5.533478403883944e-05	2.621206371716312e-05
ABC-12-CPLX	348.8884381762867	111.50063284699232	0.0003948281069633114	9.409129275914309e-05	0.0003264850495459769	0.00015465582942175322
ABC-13-CPLX	44.319058347534266	31.934472135633904	5.044595013552812e-05	3.414397259187329e-05	4.4609015184530634e-05	2.1131271562496514e-05
ABC-14-CPLX	133.07556115461418	52.38217914512653	0.00015050419324527317	5.025888678916854e-05	0.00013216346860632508	6.260577899352976e-05
ABC-15-CPLX	319.4440335176841	88.6833778071031	0.0003614160542756447	6.638249656027158e-05	0.00039984453951104446	0.00018940618868715223
ABC-16-CPLX	12.640348767916697	15.04891924332623	1.4173431150895711e-05	1.6275528958321943e-05	1.961898022805266e-05	9.29350260845918e-06
ABC-18-CPLX	90.96134645743379	84.7486402123461	0.00010325222454041826	9.438299211084447e-05	0.00010738783813020869	5.086957335085438e-05
ABC-19-CPLX	40.747057009336025	21.079507131173177	4.637613406630565e-05	2.2357893113871266e-05	3.4292252925282195e-05	1.6244225658342743e-05
