# Column descriptions:
# id	Object ID, according to EcoCyc
# protein-count-avg	A floating point number
# protein-count-std	A floating point number
# protein-concentration-avg	A floating point number in mM units
# protein-concentration-std	A floating point number in mM units
# relative-protein-count-to-protein-rna-counts	A floating point number
# relative-protein-mass-to-total-protein-mass	A floating point number
# relative-protein-mass-to-total-cell-dry-mass	A floating point number
# validation-count	A floating point number
id	protein-count-avg	protein-count-std	protein-concentration-avg	protein-concentration-std	relative-protein-count-to-protein-rna-counts	relative-protein-mass-to-total-protein-mass	relative-protein-mass-to-total-cell-dry-mass	validation-count
ABGT-MONOMER	11.627042581886233	24.284178599601166	1.3094520260635964e-05	2.6718896761120084e-05	1.9627310005780696e-06	4.615985598443327e-06	2.1865904191290934e-06	nan
ACETATEKINA-MONOMER	2454.087795736584	737.7641505700901	0.002774615586520064	0.000581398168820817	0.00041426821660879207	0.0007681890586960353	0.0003638908311132961	nan
ACETOLACTSYNIII-HCHAIN-MONOMER	473.6003517997721	219.95130951281806	0.0005346819245554894	0.0002110118156692152	7.994725105851409e-05	6.15792797955863e-05	2.9170078707201137e-05	1533.0
ACETOLACTSYNIII-ICHAIN-MONOMER	280.78290347199714	126.76300934677191	0.00031700353062644757	0.00012059075061370743	4.739823606867744e-05	0.0001278812508856446	6.0577294276458195e-05	441.0
ACETYL-COA-ACETYLTRANSFER-MONOMER	357.485444480455	304.7430664104228	0.00040797196519961606	0.00033058246509426947	6.034619372860269e-05	0.00010432896786217319	4.9420587802957334e-05	nan
ACETYLGLUTKIN-MONOMER	343.3930277780682	109.31384127046381	0.00038924949595212755	9.264972225521608e-05	5.796728929610928e-05	6.743793892357687e-05	3.194532304993208e-05	6391.0
ACETYLORNDEACET-MONOMER	666.8752992650365	219.2679909486717	0.0007558800269491039	0.0001897669503185339	0.0001125734952950456	0.0002041751454657998	9.671767976277149e-05	2145.0
ACETYLORNTRANSAM-MONOMER	457.8764388244765	144.3364356950557	0.0005180218930497916	0.0001224824578912786	7.729293795785649e-05	0.00014490115973530386	6.863961787592216e-05	3919.0
ACNEULY-MONOMER	142.32143155847822	164.24830724322496	0.00015876026648652057	0.00017149675477749106	2.4024912938880684e-05	3.354446223566984e-05	1.5889997526008077e-05	81.0
ACONITASE-MONOMER	340.0016074060909	174.57647196615812	0.00038479714355829647	0.00017361492767296473	5.73947923904523e-05	0.0002401489442478928	0.00011375845297989967	595.0
ACONITATEDEHYDRB-MONOMER	2167.551831658843	702.8561334056567	0.002448717100939494	0.0005854916699684425	0.0003658988212517941	0.0014653693007487484	0.0006941448159161651	7596.0
ACPSUB-MONOMER	6.845163667917743	21.866303098292427	7.692483778679242e-06	2.4599081516959394e-05	1.1555143829939661e-06	5.289999543688605e-07	2.5058705389651997e-07	nan
ACRB-MONOMER	313.4009262840953	102.98983524017588	0.0003540620928070228	8.634803983022776e-05	5.29044001770471e-05	0.00025739680517503815	0.00012192875738173437	282.0
ACRD-MONOMER	9.176328527668295	21.961423727467974	1.0365269923465357e-05	2.4403042682618456e-05	1.5490322965534062e-06	7.501875588854438e-06	3.553635282921894e-06	1.0
ACRF-MONOMER	0.01681634274602461	0.12858286574225908	2.117822316194816e-08	1.6510815432311718e-07	2.838723346157571e-09	1.3553666792461516e-08	6.420366207914278e-09	nan
ACS-MONOMER	244.95344011040135	195.19844438187303	0.0002799368259273561	0.00021733864038868522	4.134995698320842e-05	0.0001276885438107113	6.048600901684004e-05	995.0
ACSERLYA-MONOMER	18659.972240227493	4244.856740993774	0.021141436595997314	0.0021443762686082185	0.00314994167501184	0.004654239576254605	0.002204711312184723	73308.0
