# Column descriptions:
# id	Object ID, according to EcoCyc
# rna-count-avg	A floating point number
# rna-count-std	A floating point number
# rna-concentration-avg	A floating point number in mM units
# rna-concentration-std	A floating point number in mM units
# relative-rna-count-to-total-rna-counts	A floating point number
# relative-rna-count-to-total-rna-type-counts	A floating point number
# relative-rna-mass-to-total-rna-mass	A floating point number
# relative-rna-mass-to-total-rna-type-mass	A floating point number
# relative-rna-mass-to-total-cell-dry-mass	A floating point number
id	rna-count-avg	rna-count-std	rna-concentration-avg	rna-concentration-std	relative-rna-count-to-total-rna-counts	relative-rna-count-to-total-rna-type-counts	relative-rna-mass-to-total-rna-mass	relative-rna-mass-to-total-rna-type-mass	relative-rna-mass-to-total-cell-dry-mass
EG10063	0.23587705098610168	0.5085672184504605	7.537370982510153e-07	1.63863199125652e-06	2.4333714534959954e-06	9.243080768567906e-05	8.27320528140054e-06	0.0001758509110296934	1.011243447820632e-06
EG10064	0.2039539851150851	0.47671831299948714	6.666424219512637e-07	1.5635926993919974e-06	2.1040444720289385e-06	7.992143150887136e-05	4.1894160593749535e-06	8.904802983430848e-05	5.12077169142873e-07
EG10065	0.2039539851150851	0.47671831299948714	6.666424219512637e-07	1.5635926993919974e-06	2.1040444720289385e-06	7.992143150887136e-05	5.386013069317843e-06	0.00011448226809827701	6.583386052886543e-07
EG10066	0.18081436001570866	0.43674760606670154	5.85532644168099e-07	1.4362386497491454e-06	1.865329841139561e-06	7.085393541911738e-05	5.818489554950829e-06	0.000123674761383613	7.112007061984502e-07
EG10067	0.34191051809848566	0.6253875382266222	1.0854926592075527e-06	2.006786951680757e-06	3.527241378136034e-06	0.00013398109401467008	9.094769075111895e-06	0.0001933136400058437	1.1116641402969859e-06
EG10068	1.0623327362764725	1.1635731135779648	3.4157070807423062e-06	3.696222193355521e-06	1.0959311826913479e-05	0.00041628582532498047	3.757047898217553e-05	0.0007985783903719448	4.592283088589832e-06
EG10069	0.20556891217517073	0.4711152933063492	6.664547151334991e-07	1.53827997927555e-06	2.120704496355434e-06	8.055425700797414e-05	5.446010012914265e-06	0.00011575753165473041	6.656721010786772e-07
EG10070	0.34782042317602324	0.612757812385697	1.1190058515240734e-06	1.9796813068493754e-06	3.588209557314255e-06	0.00013629695008196796	4.307535570647285e-06	9.155871619601632e-05	5.265150535868209e-07
EG10071	0.2238809973084549	0.4866956280233582	7.150400389681491e-07	1.5611317685815845e-06	2.3096169192937205e-06	8.773003274453828e-05	1.0227948192951483e-05	0.00021739990082665368	1.250173934161119e-06
EG10072	0.6418291012538194	0.8494208687423148	2.0577421688668818e-06	2.7217217878032817e-06	6.621282598221307e-06	0.0002515072236873079	1.3216897459551423e-05	0.0002809314383233462	1.6155166591280252e-06
EG10073	0.8860068390149519	1.0288711070551446	2.847361316180356e-06	3.2600624108955007e-06	9.140286181499872e-06	0.00034719073942472174	2.9903912714979372e-05	0.000635621879962749	3.65518982892973e-06
EG10074	0.4820356126857022	0.7482188169859516	1.5400910143043285e-06	2.3900051051473145e-06	4.972809752259255e-06	0.00018889052931404454	1.3810329842228624e-05	0.00029354512571279313	1.6880525854462123e-06
EG10075	0.22701123552456395	0.48257129226418133	7.193240375570259e-07	1.542310434366855e-06	2.3419093033381978e-06	8.895664824339233e-05	6.4862544743890235e-06	0.0001378684221768331	7.928223844353562e-07
EG10076	0.17828181722397296	0.41592696636894844	5.672922691246247e-07	1.3671793621085952e-06	1.8392034447461713e-06	6.986153291637256e-05	3.5564696256076703e-06	7.559445250543431e-05	4.3471139467000177e-07
EG10077	0.21430254499477974	0.46582545740712955	7.072666606585323e-07	1.5621222258128144e-06	2.210803014628857e-06	8.39766193453521e-05	4.608664756525735e-06	9.795936018745744e-05	5.633224221712486e-07
